title,imdb_id,title_id,netflix_show_id,content_type,is_movie,primary_genre,genres_combined,release_year,decade,content_age,is_recent,date_added,has_date_added,description,description_word_count,title_length,director,has_director_info,cast,has_cast_info,character_names,credits_count,runtime_minutes,runtime_category,age_rating,imdb_score,has_imdb_score,tmdb_score,has_tmdb_score,user_rating,vote_average,combined_score,popularity,popularity_tier,vote_count,imdb_votes,country,language_code,is_netflix_original,is_duplicate_title,is_latest_version,has_runtime,has_language_code,is_date_missing
Back to Q82,tt6225842,tm431214,s490,Movie,True,Sci-Fi,"Sci-Fi, Action, Comedy",2017,2010,9,False,2021-07-08,True,"Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows.",22,11.0,Ahmed Siddiqui,True,"Jassim Al-Nabhan, Amal Anbari, Khalid Muthafar, Nawaf Al Shemmeri, Abdulaziz El Nassar, Naser Albouloshy, Ali Al-Hamdaan, Bashar Abd Alah, El Hussein Abd, Abdul Emam Abdullah",True,"Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",11,105.0,Long,TV-14,6.1,True,,False,,,6.1,1.144,Low,0,104,KW,,False,False,True,True,False,False
Back to School,tt10715194,tm826875,s3548,Movie,True,Comedy,Comedy,2019,2010,7,False,2019-08-30,True,Two adults go to their middle school reunion in order to show off their success to old bullies teenage crushes..,20,14.0,"Julien War, Rémy Four",True,"Caroline Anglade, Laetitia Chambon, Jérôme Niel, Ludovik, Nicolas Berno, Johann Dionnet, Joséphine Draï, Pauline Deshons",True,"Linda, Delphine Clavel, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",10,83.0,Standard,TV-MA,5.3,True,5.4,True,,,5.35,5.563,Low,0,1267,FR,,True,False,True,True,False,False
Back to the 90s,,,s4220,Movie,True,Comedy,"Comedy, International, Music",2015,2010,11,False,2019-01-01,True,"When a teenager is transported back to his parents’ high school days, he has the chance to alter the events that led to their unhappy marriage.",26,15.0,Yanyong Kuruaungkoul,True,"Dan Aaron Ramnarong, Pimchanok Leuwisetpaiboon, Chanintorn Jitpreeda, Chonlakarn Puangnoy, Achita Pramoj Na Ayudhya, Vichuda Pindum, Kriengsak Hrientong, Likit Sittiphun",True,Unknown,0,111.0,Long,TV-14,,False,,False,,,,,Very Low,0,0,Thailand,,False,False,True,True,False,False
Back to the Outback,tt13575806,tm1020851,,Movie,True,Animation,"Animation, Comedy, Family",2021,2020,5,True,,False,"Tired of being locked in a reptile house where humans gawk at them like they're monsters, a group of Australia's deadliest creatures plot a daring escape from their zoo to the Outback.",32,19.0,"Harry Cripps, Claire Knight",True,"Isla Fisher, Tim Minchin, Eric Bana, Guy Pearce, Miranda Tapsell, Angus Imrie, Keith Urban, Aislinn Derbez, Diesel La Torraca, Jack Charles",True,"Maddie (voice), Pretty Boy (voice), Chaz (voice), Frank (voice), Zoe (voice), Nigel (voice), Doug (voice), Legs (voice), Chazzie (voice), Greg, the Head Frill Neck (voice)",29,95.0,Long,PG,6.5,True,7.8,True,7.706,7.706,7.43,155.021,Very High,732,7896,"AU, US",en,False,False,True,True,True,True
Back with the Ex,,,s4200,TV Show,False,International,"International, Reality, Romance",2018,2010,8,False,2019-01-11,True,New beginnings or old baggage? Four singles have one chance to reignite romance with an ex – or leave the past behind for good.,24,16.0,,False,,False,Unknown,0,,Unknown,TV-MA,,False,,False,,,,,Very Low,0,0,,,False,True,False,True,False,False
Back with the Ex,tt11272424,ts87361,,TV Show,False,Reality,"Reality, Comedy",2019,2010,7,False,,False,New beginnings or old baggage? Four singles have one chance to reignite romance with an ex -- or leave the past behind for good.,24,16.0,,False,,False,Unknown,0,45.0,Series,Not Rated,6.2,True,8.3,True,,,7.25,1.4,Low,0,632,AU,,False,True,True,True,False,True
Backcountry,,,s6209,Movie,True,Horror,"Horror, Independent, Thriller",2014,2010,12,False,2017-03-30,True,A weekend hike for urbanites Alex and Jenn takes a dangerous turn when they become lost deep in the remote territory of a menacing bear.,25,11.0,Adam MacDonald,True,"Missy Peregrym, Jeff Roop, Eric Balfour, Nicholas Campbell",True,Unknown,0,92.0,Long,Not Rated,,False,,False,,,,,Very Low,0,0,Canada,,False,False,True,True,False,False
Backdraft 2,,,s3826,Movie,True,Action,"Action, Crime, Drama",2019,2010,7,False,2019-05-14,True,"In this sequel to the 1991 film, a determined fire investigator recruits an imprisoned arsonist to help untangle a web of fire, murder and corruption.",25,11.0,Gonzalo López-Gallego,True,"Joe Anderson, William Baldwin, Donald Sutherland, Alisha Bailey, Alastair Mackenzie, Dominic Mafham, Jessamine-Bliss Bell, Martin Hutson, Aaron McCusker, Cyril Nri",True,Unknown,0,102.0,Long,R,,False,,False,6.4,6.4,6.4,14.3,Medium,185,0,United States,en,False,False,True,True,True,False
Backfire,,,s6210,Movie,True,Drama,"Drama, Independent, Thriller",2019,2010,7,False,2019-04-05,True,"When two would-be robbers accidentally kill a made man, they find themselves on the run from the South Philly Italian mob.",21,8.0,Dave Patten,True,"Black Deniro, Byron ""Squally"" Vinson, Dominic Costa, Nick Ferraro, Peter Ferriero, Jowharah Jones",True,Unknown,0,97.0,Long,TV-MA,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
Backstreet Rookie,tt12516712,ts224907,,TV Show,False,Drama,"Drama, Comedy, Romance, Action",2020,2020,6,False,,False,"It tells an unpredictable 24-hour love story of the four-dimensional innocent girl Jung Saet Byeol who was once a troublemaker and the adorkable caring male store manager, Choi Dae Hyun, in the context of a convenience store. They have met each other accidentally 4 years ago, back then Saet Byeol asked Dae Hyun to buy cigarettes for them. Until now, Saet Byeol comes to the convenience store Dae Hyun runs for a part-time job, their hilarious romantic story starts.",79,17.0,Lee Myung-woo,True,"Ji Chang-wook, Kim You-jung, Do Sang-woo, Han Seon-hwa, Ahn Sol-bin, Kim Min-gue, Lee Byung-joon, Kim Sun-young, Woo Hyeon, Lee Yun-hui",True,"Choi Dae-Hyun, Jung Saet-Byul, Jo Seung-Jun, Yoo Yeon-Joo, Jung Eun-Byu, Kang Ji-Wook, Choi Yong-Pil, Gong Boon-hee, Kwon Eui-choo, Cha Kye-buk",16,62.0,Series,TV-14,7.4,True,7.5,True,,,7.45,29.819,Medium,0,2216,KR,,False,False,True,True,False,True
Backtrace,tt3588588,tm414073,,Movie,True,Crime,"Crime, Action, Drama, Thriller",2018,2010,8,False,,False,The lone surviving thief of a violent armored car robbery is sprung from a high security facility and administered an experimental drug.,22,9.0,Brian A. Miller,True,"Matthew Modine, Sylvester Stallone, Ryan Guzman, Meadow Williams, Tyler Jon Olson, Colin Egglesfield, Christopher McDonald, Sergio Rizzuto, Swen Temmel, Joe Gelchion",True,"MacDonald, Sykes, Lucas, Erin, Farren, Carter, Franks, Foster, Truby, Captain Stover",23,92.0,Long,R,3.8,True,5.4,True,5.004,5.004,4.8,19.984,Medium,225,4453,"CA, US",en,False,False,True,True,True,True
Backtrack,,,s6211,Movie,True,Mystery,"Mystery, Horror, Thriller",2015,2010,11,False,2018-12-25,True,"Haunted by visions of the dead, psychologist Peter returns home to confront a long-ago trauma. But will the trip exorcise or embolden the ghosts?",24,9.0,Michael Petroni,True,"Adrien Brody, Sam Neill, Robin McLeavy, Bruce Spence, Jenni Baird, Chloe Bayliss, Anna Lise Phillips, George Shevtsov",True,Unknown,0,90.0,Long,R,,False,,False,5.8,5.8,5.8,11.811,Medium,377,0,"Australia, United Kingdom, United Arab Emirates, Canada",en,False,False,True,True,True,False
Bad Blood,,,s3788,TV Show,False,Crime,"Crime, Drama",2019,2010,7,False,2019-05-31,True,"This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades.",24,9.0,,False,"Anthony LaPaglia, Kim Coates, Enrico Colantoni, Paul Sorvino, Maxim Roy, Brett Donahue, Michelle Mylett, Claudia Ferri, Tony Nappo",True,Unknown,0,,Unknown,TV-MA,,False,,False,,,,,Very Low,0,0,Canada,,False,False,True,True,False,False
Bad Boy Billionaires: India,tt12923630,ts255418,s1886,TV Show,False,Crime,"Crime, Documentary",2020,2020,6,False,2020-10-05,True,"This investigative docuseries explores the greed, fraud and corruption that built up - and ultimately brought down - India's most infamous tycoons.",22,27.0,,False,,False,Unknown,0,59.0,Series,TV-14,7.9,True,8.3,True,,,8.1,1.974,Low,0,3057,XX,,False,False,True,True,False,False
Bad Boys,,,s6212,Movie,True,Action,"Action, Comedy",1995,1990,31,False,2019-10-01,True,"In this fast-paced actioner, two Miami narcotics cops are hot on the trail of a master crook who has snatched $100 million worth of heroin.",25,8.0,Michael Bay,True,"Will Smith, Martin Lawrence, Téa Leoni, Tchéky Karyo, Theresa Randle, Joe Pantoliano, Emmanuel Xuereb, Michael Imperioli, Nestor Serrano, Julio Oscar Mechoso",True,Unknown,0,119.0,Long,R,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
Bad Boys II,,,s6213,Movie,True,Action,"Action, Comedy",2003,2000,23,False,2019-10-01,True,"In this hyperkinetic sequel, a pair of Miami narcotics cops investigate a Cuban drug kingpin's connection to Florida's influx of Ecstasy.",21,11.0,Michael Bay,True,"Will Smith, Martin Lawrence, Jordi Mollà, Gabrielle Union, Peter Stormare, Theresa Randle, Joe Pantoliano, Michael Shannon, Jon Seda, Yul Vazquez",True,Unknown,0,147.0,Very Long,R,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
Bad Day for the Cut,,,s5075,Movie,True,Independent,"Independent, International, Thriller",2017,2010,9,False,2018-01-18,True,"A mild-mannered, middle-aged Irish farmer devoted to his mother embarks on a violent quest for revenge when she's murdered in a home invasion.",23,19.0,Chris Baugh,True,"Nigel O'Neill, Susan Lynch, Józef Pawlowski, Stuart Graham, David Pearse, Brian Milligan, Anna Prochniak, Stella McCusker, Ian McElhinney, Lalor Roddy",True,Unknown,0,99.0,Long,TV-MA,,False,,False,,,,,Very Low,0,0,United Kingdom,,False,False,True,True,False,False
Bad Education,,,s6214,TV Show,False,International,"International, Comedy",2014,2010,12,False,2018-12-15,True,"A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.",23,13.0,,False,"Jack Whitehall, Mathew Horne, Sarah Solemani, Michelle Gomez, Nikki Runeckles, Kae Alexander, Layton Williams, Ethan Lawrence, Charlie Wernham, Jack Binstead, Jack Bence, Harry Enfield",True,Unknown,0,,Unknown,TV-MA,,False,,False,,,,,Very Low,0,0,United Kingdom,,False,False,True,True,False,False
Bad Genius,tt6788942,tm320255,s4841,Movie,True,Comedy,"Comedy, Drama, Crime, Thriller",2017,2010,9,False,2018-06-01,True,"Lynn, a brilliant student, after helping her friends to get the grades they need, develops the idea of starting a much bigger exam-cheating business.",24,10.0,Nattawut Poonpiriya,True,"Chutimon Chuengcharoensukying, Eisaya Hosuwan, Teeradon Supapunpinyo, Chanon Santinatornkul, Thaneth Warakulnukroh, Pasin Kuansataporn, Ego Mikitas, Sarinrat Thomas, Sahajak Boonthanakit, Kanjana Vinaipanid",True,"Lynn, Grace, Pat, Bank, Lynn's Father, Tong, Test Center Supervisor, Headmistress, Pat's Father, Pat's Mother",49,130.0,Very Long,PG-13,7.6,True,8.0,True,7.892,7.892,7.85,20.398,Medium,788,20571,TH,th,False,False,True,True,True,False
Bad Grandpa .5,,,s1447,Movie,True,Comedy,Comedy,2014,2010,12,False,2021-01-01,True,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film.",23,14.0,Jeff Tremaine,True,"Johnny Knoxville, Jackson Nicoll, Greg Harris, Georgina Cates, Kamber Hejlik, Jill Killington, Madison Davis, George Faughnan, Spike Jonze, Catherine Keener",True,Unknown,0,87.0,Standard,TV-MA,,False,,False,,,,,Very Low,0,0,United States,,False,False,True,True,False,False
Bad Guys,,,s3607,TV Show,False,Crime,"Crime, International",2014,2010,12,False,2019-08-08,True,"Reinstated to eradicate the worst crimes in the city, a detective requests the release of three convicts to enlist their help in catching the felons.",25,8.0,,False,"Kim Sang-jung, Ma Dong-seok, Park Hae-Jin, Cho Dong-hyuk, Kang Ye-won, Kang Shin-il, Ji-a Min, Hwang Seung-eon",True,Unknown,0,,Unknown,TV-MA,,False,,False,,,,,Very Low,0,0,South Korea,,False,False,True,True,False,False
Bad Guys: Vile City,tt12404980,ts77405,,TV Show,False,Action,"Action, Comedy, Animation, Crime, Drama",2017,2010,9,False,,False,"Ordered to take down a villainous business leader who controls the city, a prosecutor gathers a team of men who may not be so clean themselves.",26,19.0,Han Dong-hwa,True,"Yang Ik-june, Kim Moo-yul, Ju Jin-Mo, Song Young-chang, Ji Soo, Hong Ji-yoon, Ju Jin-mo, Park Joong-hoon",True,"Jang Sung-Cheol, No Jin-Pyeong, Heo Il-Hoo, Bae Sang-Do, Han Gang-Joo, Han So-Young, Lee Myung-Deuk, Woo Je-Moon",9,64.0,Series,Not Rated,5.9,True,8.0,True,,,6.95,8.626,Low,0,30,KR,,False,True,False,True,False,True
Bad Guys: Vile City,,,s4995,TV Show,False,Crime,"Crime, International",2018,2010,8,False,2018-03-08,True,"Ordered to take down a villainous business leader who controls the city, a prosecutor gathers a team of men who may not be so clean themselves.",26,19.0,,False,"Joong-hoon Park, Jin-mo Joo, Yang Ik-june, Moo-Yul Kim, Ji Soo, Young-chang Song, Hong-Fa Kim, Tae-ho Ryu, Yu-seok Kim, Soo-young Park, Yoon-hee Lee",True,Unknown,0,,Unknown,TV-MA,,False,,False,,,,,Very Low,0,0,South Korea,,False,True,True,True,False,False
Bad Match,,,s6215,Movie,True,Thriller,Thriller,2017,2010,9,False,2018-03-11,True,A player who uses the internet to facilitate his womanizing ways is tormented when he spurns a persistent woman who won't take no for an answer.,26,9.0,David Chirchirillo,True,"Jack Cutmore-Scott, Lili Simmons, Brandon Scott, Chase Williamson, Noureen DeWulf, Seth Morris, Christine Donlon, Trent Haaga, Kahyun Kim, Cynthia Rose Hall, Zedrick Restauro, Eric Podnar",True,Unknown,0,83.0,Standard,TV-MA,,False,,False,,,,,Very Low,0,0,"Singapore, United States",,False,False,True,True,False,False
Bad Rap,,,s6216,Movie,True,Documentary,"Documentary, Music",2016,2010,10,False,2017-08-21,True,Four young Asian-American rappers strive to achieve success on their own terms in a musical genre that often treats them as outsiders.,22,7.0,Salima Koroma,True,"Jonathan Park, Awkwafina, David Lee, Richard Lee",True,Unknown,0,83.0,Standard,TV-MA,,False,,False,,,,,Very Low,0,0,"United States, Canada",,False,False,True,True,False,False
Bad Seeds,tt6708116,tm367473,s4268,Movie,True,Comedy,"Comedy, European",2018,2010,8,False,2018-12-21,True,"Wael, a former street child, makes a living from small scams with his adoptive mother and partner-in-crime Monique. When this unconventional duo swindles the wrong guy, Victor, an old acquaintance of Monique now in charge of a support organization for troubled teens, they have no choice but to become his interim secretary and educator in order to redeem themselves.",59,9.0,Kheiron,True,"Kheiron, Catherine Deneuve, André Dussollier, Hakou Benosmane, Leila Boumedjane, Alban Lenoir, Louison Blivet, Adil Dehbi, Youssouf Wague, Ouassima Zrouki",True,"Waël, Monique, Victor, Karim, Sarah, Franck, Shana, Fabrice, Ludo, Nadia",21,100.0,Long,TV-MA,7.3,True,7.8,True,7.6,7.6,7.57,7.032,Low,604,5461,FR,fr,False,False,True,True,True,False
Bad Sport,tt15402912,ts308838,,TV Show,False,Crime,"Crime, Documentary, Sports",2021,2020,5,True,,False,True crime and sports come together in this docuseries. Global controversies and scandals are explored through reports from those involved.,20,9.0,"Lizzie Kempton, Miles Blayden-Ryall, Luke Sewell, Alex Kiehl, Georgina Cammalleri, James House",True,"Randy Lanier, Pete Cullen, Jamie Salé",True,"Self - Professional Race Car Driver, Self - Former FBI Special Agent, Self - Canadian Olympic Pair Skater",9,68.0,Series,TV-MA,7.3,True,7.3,True,,,7.3,3.382,Low,0,2151,,,False,False,True,True,False,True
Bad Trip,tt9684220,tm456436,,Movie,True,Comedy,"Comedy, Reality",2020,2020,6,False,,False,Two pals embark on a road trip full of funny pranks that pull real people into mayhem.,17,8.0,Kitao Sakurai,True,"Eric André, Lil Rel Howery, Tiffany Haddish, Michaela Conlin, Anthony J. James, Adam Meir, Charles Green, Cory DeMeyers, Rebecca Rose Goodman",True,"Chris Carey, Bud Malone, Trina Malone, Maria Li, Anthony, Bobo, Priest, Blind Guy, Art Gallery Prankee",10,87.0,Standard,Not Rated,6.5,True,6.1,True,,,6.3,73.507,High,0,24537,"CA, US",,True,True,False,True,False,True
Bad Trip,,,s1158,Movie,True,Comedy,Comedy,2021,2020,5,True,2021-03-26,True,"In this hidden-camera prank comedy, two best friends bond on a wild road trip to New York as they pull real people into their raunchy, raucous antics.",27,8.0,,False,"Eric André, Lil Rel Howery, Tiffany Haddish, Michaela Conlin",True,Unknown,0,87.0,Standard,TV-MA,,False,,False,6.1,6.1,6.1,12.37,Medium,532,0,United States,en,True,True,True,True,True,False
Bad Vegan: Fame. Fraud. Fugitives.,tt18260538,ts311987,,TV Show,False,Documentary,"Documentary, Crime",2022,2020,4,True,,False,"After marrying a mysterious man who claimed he could make her dog immortal, a celebrated vegan restaurateur finds her life veering off the rails.",24,34.0,Chris Smith,True,"Sarma Melngailis, Allen Salkin, Ilze Melngailis, Bonnie Crocker, John Melngailis, Joey Repice, Nikki King Bennett, Jim Switzer, Jeffrey Chodorow, Andrew Elliot",True,"Self, Unknown, Unknown, Unknown, Self - Sarma's Father, Unknown, Unknown, Unknown, Unknown, Unknown",22,52.0,Series,TV-MA,5.8,True,5.3,True,,,5.55,3.403,Low,0,6134,US,,False,False,True,True,False,True
Badalte Rishton Ki Dastaan,,,s6217,TV Show,False,International,"International, Drama",2013,2010,13,False,2017-04-01,True,"When a man is killed, his wife and his lover – both of whom are pregnant with his children – come under the thumb of his brutal, dictatorial father.",29,26.0,,False,"Additi Gupta, Sanjeeda Sheikh, Kiran Karmarkar, Abhinav Shukla, Tanushree Kaushal, Mona Ambegaonkar",True,Unknown,0,,Unknown,TV-14,,False,,False,,,,,Very Low,0,0,India,,False,False,True,True,False,False
Badanamu Stories,tt14857600,ts298837,,TV Show,False,Animation,Animation,2020,2020,6,False,,False,"Badanamu Stories explore themes central to the lives of preschool children but in ways that inject whimsy, imagination, and wonder into the everyday.",23,16.0,,False,,False,Unknown,0,10.0,Series,TV-Y,5.6,True,,False,,,5.6,,Very Low,0,9,,,False,False,True,True,False,True
Badha,,,s6218,Movie,True,Drama,"Drama, International",2006,2000,20,False,2018-01-01,True,A young woman who is suspected of practicing black magic and witchcraft is demonized and forced to live apart from her family.,22,5.0,"Sumitra Bhave, Sunil Sukthankar",True,"Amruta Subhash, Rajesh More, Devika Daftardar, Renuka Daftardar, Uttara Baokar, Jyoti Subhash, Milind Shinde, Sachin Mondkar",True,Unknown,0,91.0,Long,TV-14,,False,,False,,,,,Very Low,0,0,India,,False,False,True,True,False,False
Badhaai Do,tt11934846,tm1138870,,Movie,True,Comedy,"Comedy, Drama, Crime",2022,2020,4,True,,False,A gay cop and a lesbian teacher enter a sham marriage to pacify their families but find that relationships — both real and fake — aren't all that easy.,29,10.0,Harshavardhan Kulkarni,True,"Rajkummar Rao, Bhumi Pednekar, Seema Pahwa, Sheeba Chaddha, Nitesh Pandey, Loveleen Mishra, Chum Darang, Shashi Bhushan, Deepak Arora, Gulshan Devaiah",True,"Shardul Thakur, Suman Singh, Shardul's Aunt, Baby Thakur (Shardul's Mother), Prem Kumar Singh, Mrs. Singh, Rimjhim Jhongkey, Dr. Anup Parihar (Shardul's Brother-in-law), Kabir, Advocate Guru Narayan",16,147.0,Very Long,Not Rated,7.1,True,7.0,True,6.9,6.9,6.98,5.054,Low,66,16685,IN,hi,False,False,True,True,True,True
Badla,tt8130968,tm458328,s3617,Movie,True,Thriller,"Thriller, Crime, Drama",2019,2010,7,False,2019-08-07,True,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,36,5.0,Sujoy Ghosh,True,"Amitabh Bachchan, Taapsee Pannu, Tony Luke, Amrita Singh, Manav Kaul, Tanveer Ghani, Denzil Smith, April Agarwal-Aplin, Rachel Flynn, Jason Hetherington",True,"Badal Gupta, Naina Sethi, Arjun Joseph, Rani Kaur, Jimmy Punjab, Nirmal, Detective Sodhi, Sanna Sethi, Rachael Joseph, The Driver",17,120.0,Very Long,PG-13,7.8,True,7.4,True,,,7.6,10.588,Medium,0,27539,IN,,False,False,True,True,False,False
Badland,,,s6219,Movie,True,Western,Western,2019,2010,7,False,2020-03-26,True,A detective with a license to kill roams the Old West to wrangle Confederate war criminals and meets a pioneer woman who throws his journey off track.,27,7.0,Justin Lee,True,"Kevin Makely, Bruce Dern, Mira Sorvino, Trace Adkins, Wes Studi, Tony Todd, Jeff Fahey, James Russo, Amanda Wyss",True,Unknown,0,117.0,Long,TV-14,,False,,False,6.2,6.2,6.2,10.164,Medium,118,0,United States,en,False,False,True,True,True,False
Baewatch: Parental Guidance,,ts252977,s2102,TV Show,False,International,"International, Reality, Romance",2019,2010,7,False,2020-08-22,True,"Couples go on a romantic getaway to test their relationships, not knowing their families are calling the shots and cringing over their every move.",24,27.0,,False,,False,Unknown,0,47.0,Series,TV-MA,,False,,False,,,,0.606,Very Low,0,0,,,False,False,True,True,False,False
Baggio: The Divine Ponytail,tt14025788,tm1017664,s841,Movie,True,Sport,"Sports, Drama",2021,2020,5,True,2021-05-26,True,"Biographical film about Italian footballer Roberto Baggio, a man who inspired entire generations to play football. A unique footballer, capable of thrilling fans all over the world.",27,27.0,Letizia Lamartire,True,"Andrea Arcangeli, Valentina Bellè, Andrea Pennacchi, Antonio Zavatteri, Anna Ferruzzo, Riccardo Goretti, Roberto Turchetta, Martufello, Thomas Trabacchi, Marc Clotet",True,"Roberto Baggio, Andreina, Florindo Baggio, Arrigo Sacchi, Matilde Baggio, Maurizio Boldrini, Carlo Ancelotti, Carlo Mazzone, Vittorio Petrone, Josep Guardiola",34,91.0,Long,TV-MA,6.1,True,6.5,True,6.4,6.4,6.35,11.747,Medium,416,4427,IT,it,True,False,True,True,True,False
Bahasha,tt8540608,tm1146751,,Movie,True,Drama,Drama,2018,2010,8,False,,False,"Bahasha is the story of Kitasa, an elected public official who betrays his family, friends and community when he takes an easy bribe. He learns the hard way and must now find the road to redemption.",36,7.0,,False,,False,Unknown,0,85.0,Standard,Not Rated,7.0,True,,False,,,7.0,,Very Low,0,24,TZ,,False,False,True,True,False,True
Bake Squad,tt15078760,ts304709,s281,TV Show,False,Family,"Family, Reality",2021,2020,5,True,2021-08-11,True,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,25,10.0,,False,Christina Tosi,True,Self - Host,1,35.0,Series,TV-PG,6.9,True,7.7,True,,,7.3,3.028,Low,0,690,US,,False,False,True,True,False,False
BAKI,tt6357658,ts82189,,TV Show,False,Drama,"Drama, Animation, Action, Crime, Sports",2018,2010,8,False,,False,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on.",25,4.0,,False,"Nobunaga Shimazaki, Kenjiro Tsuda, Takehito Koyasu, Issei Futamata, Banjo Ginga, Chafurin, Akio Otsuka, Yoshihisa Kawahara, Sora Amamiya, Mugihito",True,"Hanma Baki, Sikorsky, Doyle, Yanagi Ryūkō, Dorian, Speck, Hanma Yūjirō, Orochi Katsumi, Matsumoto Kozue, Tokugawa Mitsunari",14,24.0,Series,TV-MA,6.7,True,8.1,True,,,7.4,207.49,Very High,0,6041,JP,,False,True,False,True,False,True
BAKI,,,s2427,TV Show,False,Anime,"Anime, International",2020,2020,6,False,2020-06-04,True,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on.",25,4.0,,False,"Nobunaga Shimazaki, Takayuki Sugo, Bin Shimada, Rikiya Koyama, Takuya Eguchi, Banjo Ginga, Takehito Koyasu, Kenjiro Tsuda, Chafurin, Issei Futamata, Mugihito, Yoshihisa Kawahara, Sora Amamiya, Toru Furuya",True,Unknown,0,,Unknown,TV-MA,,False,,False,,,,,Very Low,0,0,Japan,,False,True,True,True,False,False
Baki Hanma,tt13357140,ts273485,,TV Show,False,Animation,"Animation, Action, Drama, Sports, Thriller",2021,2020,5,True,,False,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained.",26,10.0,,False,"Nobunaga Shimazaki, Akio Otsuka, Hochu Otsuka, Kenji Nojima, Mami Koyama, Takaya Hashi, Megumi Han, Tesshou Genda, Yasuhiro Mamiya, Koichi Yamadera",True,"Baki Hanma (voice), Yujiro Hanma (voice), Biscuit Oliva (voice), Jun Guevara (voice), Maria (voice), Gerry Strydum (voice), Rumina Ayukawa (voice), Saman (voice), Iron Michael (voice), Lips, Teeth, Tongue (voice)",18,25.0,Series,TV-MA,6.6,True,8.049,True,,,7.32,211.093,Very High,0,1685,JP,,False,False,True,True,False,True
Baking Impossible,tt15171996,ts305263,,TV Show,False,Reality,Reality,2021,2020,5,True,,False,Innovative bakers are paired with the brightest engineers to compete in designing and baking creations that are both delicious and made to survive intense engineering stress tests.,27,17.0,,False,Justin Willman,True,Host,1,49.0,Series,TV-PG,7.0,True,6.3,True,,,6.65,4.722,Low,0,1114,US,,False,False,True,True,False,True
Bakugan: Armored Alliance,,,s1724,TV Show,False,Anime,"Anime, Kids",2020,2020,6,False,2020-11-06,True,"Dan Kouzo and his crew of heroic brawlers battle both challengers and powerful, evil forces as they work to protect humans and the Bakugan.",24,25.0,,False,,False,Unknown,0,,Unknown,TV-Y7,,False,,False,,,,,Very Low,0,0,,,False,False,True,True,False,False
Bakugan: Battle Planet,tt9527662,ts88783,s1725,TV Show,False,Animation,"Animation, Action, Comedy, Family, Fantasy, Sci-Fi",2018,2010,8,False,2020-11-06,True,Bakugan Battle Planet follows the adventures of Dan Kouzo and his best friends: the first kids on Earth to bond with the mysterious creatures known as Bakugan!,27,22.0,,False,"Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes",True,Unknown,0,20.0,Series,TV-Y7,4.9,True,6.8,True,,,5.85,14.694,Medium,0,225,JP,,False,False,True,True,False,False
Bakugan: Geogan Rising,,,s1026,TV Show,False,Anime,"Anime, Kids",2021,2020,5,True,2021-04-16,True,"The Awesome Brawlers band together to fight off a powerful enemy determined to break the bond between Earth and Vestroia, the Bakugan's home planet.",24,22.0,,False,"Jonah Wineberg, Margarita Valderrama, Deven Christian Mack, Jaimee Joe Gonzaga, Sharjil Rasool, Will Bowes, Jason Deline, Dan Petronijevic, Carling Doubt, Joshua Graham, Cory Doran",True,Unknown,0,,Unknown,TV-Y7,,False,,False,,,,,Very Low,0,0,,,False,False,True,True,False,False
Bal Ganesh,,,s2753,TV Show,False,Kids Tv,Kids,2019,2010,7,False,2020-03-31,True,"Watch Ganesh destroy demons, disarm invaders and defeat dacoits in this series based on the mythological Hindu elephant god’s childhood.",20,10.0,Vijay S. Bhanushali,True,"Meghna Erande Joshi, Parminder Ghumman",True,Unknown,0,,Unknown,TV-Y7,,False,,False,,,,,Very Low,0,0,,,False,False,True,True,False,False
